 ID,Name,Laulun kuvake,Video url,audio instrumental,Aiheet,audio,Tulosteet,Nuotit,järjestysnumero,Created,Updated
48,MINÄ AUTAN SINUA,"{'url':'faeebf8d0e7860a162fa6fc813757c4403e96650bd754fd3d61a09f72a338ce8.png','size':87133,'width':512,'height':512,'filename':'MUOK_Minä autan sinua.png','metadata':{'width':512,'height':512,'blurHash':'euReQ|xu?^t7Sz*IaKa1o}Vs%#XmM{r?enw0jFVsWBo}XSniofWVbb','blurHashWidth':32}}",https://player.vimeo.com/video/911970711,"{'url':'db0dc25f0b7a4afd768259b50d90b3e1091d99101197bc2b57656f5ad95824d3.mp3','size':6637880,'filename':'Minä autan sinua_KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'7684493580ca12ccfb3164bab2b5ef142cb6cb0ea54481f9737eca42714292c5.mp3','size':6637880,'filename':'Minä autan sinua.mp3'}",,"{'url':'94e295392f405005908601cccb4ced4ff23faad7833b61b58117d0b331b24935.pdf','size':117230,'filename':'Mina autan sinua.pdf'}",48,2024-02-03T10:35:07.098Z,2024-09-30T17:42:30.575Z
47,KIUKUN KESYTYS,"{'url':'18077a491b1d930ad65052941b63f392332daaec9a80d47f8abaedb04f94e3d3.png','size':162344,'width':676,'height':676,'filename':'MUOK_Kiukun kesytys.png','metadata':{'width':676,'height':676,'blurHash':'etNm$tt7~qx[ni~pj[RkofRP?Hj@M{a#R*NLj[MxWBxuxuj]xaf6of','blurHashWidth':32}}",https://player.vimeo.com/video/911812188,"{'url':'74f4c8fa020f81f93ca1b997be7d085f2e1906aef2080251c468127b86b13f6c.mp3','size':8365700,'filename':'Kiukun kesytys_KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'74dc438a429c5d4542fc0c04651ab29f20b0b5b39392c1b0ba24f7a6646461e3.mp3','size':8367788,'filename':'Kiukun kesytys.mp3'}",,"{'url':'18ac4dac293d4c368dc0bacc870b0500f9cdb4e451009c11259edf42853e9d88.pdf','size':216615,'filename':'Kiukun kesytys.pdf'}",47,2024-02-03T10:34:29.456Z,2024-09-30T17:42:37.716Z
46,HIENOJA SANOJA ON PALJON,"{'url':'20d03fe6f1cd8c359ab2eb826af2bfe947df4342c1ceff49a0bd96fe63bf0d8b.png','size':120275,'width':676,'height':676,'filename':'MUOK_Hienoja sanoja on paljon.png','metadata':{'width':676,'height':676,'blurHash':'exQ08Zt7_NxuWA_MofIUf7M{XSayjEj@kDr]f7WBayxux]j[Rjazae','blurHashWidth':32}}",https://player.vimeo.com/video/940644250,"{'url':'9a84079f627c0e31e11a4b378da5b33e5d946ac46a40152390d4eb60e740b402.mp3','size':6220194,'filename':'Hienoja sanoja on paljon_KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'d031fef34db74756fd849b66e02ce1533dc01e564a0b077a6b6ce4580e60876e.mp3','size':6210790,'filename':'9. Hienoja sanoja on paljon.mp3'}",,"{'url':'6fec82ba1a45621ea345d7db05fe839e3410e5708d37d46aed1ca22bbee1dcee.pdf','size':173965,'filename':'Hienoja sanoja on paljon.pdf'}",46,2024-02-03T10:33:40.079Z,2024-10-04T10:51:41.969Z
45,TALVILAULU,"{'url':'72f44ad7b6a7754390115004199a5be8f76b283bff0972c15330d51c18ab6aaf.png','size':103463,'width':1024,'height':1024,'filename':'MUOK_Talvilaulu.png','metadata':{'width':1024,'height':1024,'blurHash':'efNwi;S$_3xZ-p9aRP-ptRj@~q%1n$ozM{-o%MW=M{WW%2M|M{t6WB','blurHashWidth':32}}",https://player.vimeo.com/video/911551241,"{'url':'7a76b362c9001d21717d9df1764988ef94c65ef39d07bd17ba4d25d29d633955.mp3','size':5858012,'filename':'Kielinuppu_Talvilaulu 2024-10-18 instr-St.mp3'}",SÄÄ & VUODENAJAT,"{'url':'fc9ac8f4b83246c860e8b388f317bb5d5ba39c2e4e96c7a1d58d4d0c90813f2d.mp3','size':5871584,'filename':'Talvilaulu 2023-11-30PM_PRINT-St.mp3'}",,"{'url':'0459ff6b848ed510c5f1f2f4b5d93fe2d20915f5ebca0ee5bc4d8146a6e2a056.pdf','size':29256,'filename':'Talvilaulu.pdf'}",45,2024-02-03T10:19:12.983Z,2024-10-21T09:05:27.190Z
44,NELJÄ VUODENAIKAA,"{'url':'0c94f88b51f47492cc766dca05ba3d927ac2d726a92016eaec3115535d30cfe9.png','size':85716,'width':676,'height':676,'filename':'MUOK_Neljä vuodenaikaa.png','metadata':{'width':676,'height':676,'blurHash':'eiR{S#s+.T%#og-;V@Rjo}j]%$kCMwadkCaJoztRVsj[x^ozV@V?Vs','blurHashWidth':32}}",https://player.vimeo.com/video/916428637,"{'url':'aaf4412c19a8b8508d54708cbafef9f59bc68b5d4430f5948f11bef1f17cb47f.mp3','size':8088472,'filename':'NeljÃ¤ vuodenaikaa_KARAOKE.mp3'}",SÄÄ & VUODENAJAT,"{'url':'0715c87af249f332157790119fde4c7ceceba7b2a84e094c122a6b46a825e9e1.mp3','size':8039362,'filename':'3. Neljä vuodenaikaa.mp3'}","{'url':'50d0d8b946ee624ddacd4d7ee172c891872678825467923455b64af2e178bf37.pdf','size':1120187,'filename':'Neljä vuodenaikaa.pdf'}","{'url':'127a47844cc41bac9160287e98ba0552f2d24f780bb986d356afed005322c212.pdf','size':199105,'filename':'Neljä vuodenaikaa.pdf'}",44,2024-02-03T10:18:52.937Z,2024-10-17T11:16:07.587Z
43,MILLAINEN SÄÄ ON TÄNÄÄN?,"{'url':'0089ba54cb2125aa9d1b01a1c39d8d7caaaebe9855a8e399c6fc72efdb11cb26.png','size':32732,'width':512,'height':512,'filename':'MUOK_Millainen sää on tänään?.png','metadata':{'width':512,'height':512,'blurHash':'eXRyd0%#?wrWt6t8ads,kXofyEROR4yDj[?GW=Ndslae-:j[M{j[WB','blurHashWidth':32}}",https://player.vimeo.com/video/916422868,"{'url':'a5531e571969743c9ab215935c2dc629dcab5e4a2a50523489320e8412800407.mp3','size':6178398,'filename':'Millainen sää on tänään_KARAOKE.mp3'}",SÄÄ & VUODENAJAT,"{'url':'12347e024bd24f3bfaf980ac267080c6f115aca0867f6a32ca2e7468a78b4f15.mp3','size':6170039,'filename':'18. Millainen sää on tänään.mp3'}","{'url':'420c073ec127f672d15377e260a046c0890507655e426a47f5ea072d5a68b32d.pdf','size':2159931,'filename':'Millainen sää on tänään.pdf'}","{'url':'949f0b6b1a3572ee58836db85ade83a7a5188aff92d4a1a31a763593601b7daa.pdf','size':142107,'filename':'Millainen sää on tänään_.pdf'}",43,2024-02-03T10:18:21.298Z,2024-10-30T11:21:59.875Z
42,TEHDÄÄN RUOKAA,"{'url':'c93ccc0351c9188752125ca76825f773cfb78343322ae5aa23b54b3ed2fbe08b.png','size':63402,'width':676,'height':676,'filename':'MUOK_Tehdään ruokaa.png','metadata':{'width':676,'height':676,'blurHash':'eQRfh2%M_4-;%M-;ofayWBjt_NofD%WCM{-=WBWAoza}xuWBRjofj[','blurHashWidth':32}}",https://player.vimeo.com/video/940012905,"{'url':'3fff9c47a17a34831435111d57c67eb0d139c8c5e14f596d74f81cc8dba2a6d8.mp3','size':7574382,'filename':'Tehdään ruokaa_k.mp3'}",RUOKA & RUOKAILU,"{'url':'93b4ba617519930af220c53b4ecb22378b0804677aec7ba1ddcbb12e21b24567.mp3','size':7574382,'filename':'Tehdään ruokaa_master.mp3'}","{'url':'a2c7a113e1feb26f0d86ff36fe6e107dc9d2ea9ed0c54e701fc4d09cd5d6a0b6.pdf','size':903049,'filename':'Tehdään ruokaa.pdf'}","{'url':'ee7c25104ea5568fd8ffbbac75c344a6c998bd6dbfad93e2e546171665e09e97.pdf','size':39266,'filename':'Nuotit_Tehdään ruokaa.pdf'}",42,2024-02-03T10:17:01.932Z,2024-10-16T15:05:35.871Z
41,MARJAT,"{'url':'8bc27cff3c3fb4086bc51b2b4861489cd94ce9e85cd274945ec077bc4e95bdb7.png','size':49500,'width':676,'height':676,'filename':'MUOK_Marjat.png','metadata':{'width':676,'height':676,'blurHash':'erSYQ{xa*0x]V?oyfks;jFW.uObbQ,jFbH-pjZS1f+niwKj[NtWBt7','blurHashWidth':32}}",https://player.vimeo.com/video/924933180,"{'url':'fe044422772d1bb725a45e48da5eaef5c88e73dd3013752f009a625e1e1b7d49.mp3','size':6401936,'filename':'Marjat_KARAOKE.mp3'}",RUOKA & RUOKAILU,"{'url':'b5fe8ccdf813d5d5f767c5a323e9d845a04bf592f9d23061780c651f018a7c34.mp3','size':6401936,'filename':'Marjat.mp3'}",,"{'url':'9e7ca81741fc60bc8ab0b5045c9891b2689f5ac752b1fcf74e54cea1faf67953.pdf','size':226670,'filename':'Marjat.pdf'}",41,2024-02-03T10:16:33.455Z,2024-10-17T10:19:44.829Z
40,RUOKAILU ALKAA,"{'url':'6cfe0b714e7b7111d79562f9026a6b6e6ccaa054d88cda750f745c9ea32b4285.png','size':61930,'width':676,'height':676,'filename':'MUOK_Ruokailu alkaa.png','metadata':{'width':676,'height':676,'blurHash':'enSh_zxt*0x]WBt8juo}kCaJtmfkVsayj@%1j[V?jYkYtmj]V?ayad','blurHashWidth':32}}",https://player.vimeo.com/video/916431164,"{'url':'125844a7eb49cebe2ec0f40af0b45060271e5c18cf18f2b80ca0b96b44c3ee19.mp3','size':3942317,'filename':'Ruokailu alkaa_KARAOKE.mp3'}",RUOKA & RUOKAILU,"{'url':'1aad788d9d173aa6dca3fb17921958c8b972024aa85ffb7ad33b15c75f16013e.mp3','size':3940227,'filename':'8. Ruokailu alkaa.mp3'}","{'url':'8572bb4a56319ba7590f159ae4f41a30b6f2299448e73f638b233ca7d3f6f210.pdf','size':591364,'filename':'Ruokailu alkaa.pdf'}","{'url':'5238eb41e68121159b9616d5fac7f58bfc6a97bc49a24315d7eef450fc881224.pdf','size':117884,'filename':'Ruokailu alkaa.pdf'}",40,2024-02-03T10:16:04.278Z,2024-09-30T17:43:38.586Z
39,HEDELMÄKORI,"{'url':'5c1c5c400cd8e4519b373f0c9804c2354d87802143c3c6867c0ba9d9b3923490.png','size':58111,'width':676,'height':676,'filename':'MUOK_Hedelmäkori.png','metadata':{'width':676,'height':676,'blurHash':'eqSY5N%2y?kps:Xlt7sCRiofp{bbiIjFV@-VRjS#t8WB$+RjNFs;bv','blurHashWidth':32}}",https://player.vimeo.com/video/916482087,"{'url':'15e54fc40ea46ed059d18846ec9b2f1a8e12e7ce7bd14a03393d09f7b6a186c6.mp3','size':7085370,'filename':'HedelmÃ¤kori_KARAOKE.mp3'}",RUOKA & RUOKAILU,"{'url':'15e642d34d90a4bdfe76ab26472a982bffcec739f56938490b19af74f18a4d1a.mp3','size':7068651,'filename':'12. Hedelmäkori.mp3'}",,"{'url':'67618a3d9e1b96f87ccba2859260735dcbc4535c55b55fbe7883cdc3072fa2da.pdf','size':126085,'filename':'Hedelmäkori.pdf'}",39,2024-02-03T10:15:45.894Z,2024-10-22T12:02:57.476Z
